sequence_id,wind_regime,plants,regime_mapping_status
Seq-01,L1,20,VERIFY_AGAINST_RAW_LOG
Seq-02,L1,20,VERIFY_AGAINST_RAW_LOG
Seq-03,L1,20,VERIFY_AGAINST_RAW_LOG
Seq-04,L1,20,VERIFY_AGAINST_RAW_LOG
Seq-05,L1,20,VERIFY_AGAINST_RAW_LOG
Seq-06,L1,20,VERIFY_AGAINST_RAW_LOG
Seq-07,L2,20,VERIFY_AGAINST_RAW_LOG
Seq-08,L2,20,VERIFY_AGAINST_RAW_LOG
Seq-09,L2,20,VERIFY_AGAINST_RAW_LOG
Seq-10,L2,20,VERIFY_AGAINST_RAW_LOG
Seq-11,L2,20,VERIFY_AGAINST_RAW_LOG
Seq-12,L2,20,VERIFY_AGAINST_RAW_LOG
Seq-13,L3,20,VERIFY_AGAINST_RAW_LOG
Seq-14,L3,20,VERIFY_AGAINST_RAW_LOG
Seq-15,L3,20,VERIFY_AGAINST_RAW_LOG
Seq-16,L3,20,VERIFY_AGAINST_RAW_LOG
Seq-17,L3,20,VERIFY_AGAINST_RAW_LOG
Seq-18,L3,20,VERIFY_AGAINST_RAW_LOG

